:START_ID,:END_ID,weight:double,type
n22389,n24617,54.3911,DEVELOPS
n6134,n18591,59.6528,FOLLOWS
n15014,n27537,44.8522,FUNDED_BY
n28469,n29979,42.1782,FUNDED_BY
n17324,n15014,20.9983,FOLLOWS
n4117,n25492,19.8187,DEVELOPS
n16231,n26315,5.1489,DEVELOPS
n26189,n24249,47.3857,FOLLOWS
n644,n7184,16.5924,DEVELOPS
n28577,n11003,31.5158,BELONGS_TO
n5214,n11384,92.5226,BELONGS_TO
n8352,n22569,63.6034,FOLLOWS
n6358,n24257,30.2192,FOLLOWS
n19878,n8835,60.2747,FOLLOWS
n5381,n15813,15.3569,DEVELOPS
n12261,n27662,78.791,DEVELOPS
n24725,n29012,97.4002,FOLLOWS
n6895,n15181,61.8854,DEVELOPS
n21133,n29723,91.4858,BELONGS_TO
n27651,n4061,30.4232,FOLLOWS
n12171,n27172,80.4164,FOLLOWS
n4181,n25045,15.6046,BELONGS_TO
n24592,n10859,73.8714,BELONGS_TO
n24277,n19186,30.8775,FOLLOWS
n8144,n15794,45.2842,FOLLOWS
n20668,n4083,14.7501,FUNDED_BY
n21721,n23502,62.1553,DEVELOPS
n4672,n23947,31.0867,FUNDED_BY
n15561,n12902,7.976,BELONGS_TO
n29602,n26599,78.1028,BELONGS_TO
n24964,n5907,98.3453,DEVELOPS
n3387,n21863,20.8275,BELONGS_TO
n14761,n566,22.3166,FOLLOWS
n17268,n8740,55.3319,BELONGS_TO
n12855,n28577,62.8981,DEVELOPS
n7010,n22933,65.6088,DEVELOPS
n28344,n15521,1.8323,BELONGS_TO
n13334,n2580,19.4559,DEVELOPS
n9428,n25374,72.2107,FUNDED_BY
n7900,n28896,58.3827,FOLLOWS
n4921,n4404,20.9176,FOLLOWS
n21305,n12902,58.3357,FUNDED_BY
n6569,n7185,29.8089,BELONGS_TO
n5469,n25045,46.7249,BELONGS_TO
n19711,n10605,76.8409,DEVELOPS
n24716,n17657,68.9599,FUNDED_BY
n11973,n26772,74.786,FOLLOWS
n7916,n13062,15.969,FUNDED_BY
n382,n22700,76.5023,DEVELOPS
n24641,n14610,31.3903,DEVELOPS
n1342,n22692,36.4517,FOLLOWS
n8079,n15170,85.1349,BELONGS_TO
n4530,n17488,94.2854,BELONGS_TO
n16360,n29504,27.6125,BELONGS_TO
n27470,n28579,27.4376,FOLLOWS
n12858,n4427,49.3172,FUNDED_BY
n11989,n14589,1.1468,DEVELOPS
n14684,n3046,6.3138,FOLLOWS
n6890,n27280,60.4423,FUNDED_BY
n20338,n28091,3.6701,FOLLOWS
n25301,n1349,36.6834,FOLLOWS
n5692,n9575,43.6288,DEVELOPS
n22216,n8735,61.4098,FUNDED_BY
n18723,n4108,47.0037,BELONGS_TO
n26615,n419,50.4507,DEVELOPS
n7557,n22840,54.1608,FUNDED_BY
n10087,n20874,26.2353,DEVELOPS
n28541,n4921,22.5627,BELONGS_TO
n4981,n2205,32.0343,DEVELOPS
n207,n17980,50.0443,FOLLOWS
n19519,n265,73.9291,DEVELOPS
n23713,n3821,80.5416,FOLLOWS
n26283,n19436,0.4029,DEVELOPS
n11108,n5456,16.9347,DEVELOPS
n18385,n1209,50.4856,FOLLOWS
n18105,n8286,79.384,FOLLOWS
n16826,n5881,86.0864,BELONGS_TO
n6175,n29501,67.8317,FOLLOWS
n14824,n15562,95.6994,FOLLOWS
n15315,n13579,39.1871,FOLLOWS
n27274,n2475,46.7923,FOLLOWS
n12438,n16104,97.1452,FOLLOWS
n29948,n18462,54.8159,DEVELOPS
n1090,n7887,22.9954,FUNDED_BY
n7367,n3199,13.181,FUNDED_BY
n3608,n22191,97.0244,DEVELOPS
n4285,n26364,54.9664,FUNDED_BY
n22782,n4123,95.2504,DEVELOPS
n25124,n7853,93.0344,FOLLOWS
n22389,n19020,25.145,FOLLOWS
n29627,n6815,4.1972,BELONGS_TO
n14166,n14675,41.3971,BELONGS_TO
n10455,n12877,47.8384,BELONGS_TO
n27530,n2523,24.5462,DEVELOPS
n22196,n23235,68.7125,DEVELOPS
n24969,n26536,31.1527,DEVELOPS
n5980,n11547,86.9021,FUNDED_BY
n19862,n15391,16.1884,FOLLOWS
n24199,n11207,13.6917,BELONGS_TO
n29327,n11850,68.9936,DEVELOPS
n12364,n7364,37.6329,FUNDED_BY
n11605,n2977,51.0418,FOLLOWS
n16193,n28744,66.578,DEVELOPS
n4487,n4737,5.1784,FOLLOWS
n24554,n14745,47.1477,BELONGS_TO
n19481,n5742,72.1026,BELONGS_TO
n19428,n4517,84.1428,DEVELOPS
n14361,n14615,66.0255,BELONGS_TO
n6762,n5917,78.749,FOLLOWS
n22318,n2500,56.4421,DEVELOPS
n9715,n20439,27.503,DEVELOPS
n14783,n21672,2.2753,FOLLOWS
n26667,n11545,83.5764,FUNDED_BY
n18902,n23967,71.0429,FOLLOWS
n23721,n3474,76.0391,BELONGS_TO
n28084,n15438,27.7943,DEVELOPS
n8745,n8835,30.8874,DEVELOPS
n17819,n27321,84.7091,FUNDED_BY
n9209,n20276,90.9175,DEVELOPS
n17990,n14228,58.7159,FOLLOWS
n25128,n28081,1.9345,BELONGS_TO
n844,n6406,19.1363,BELONGS_TO
n10132,n19276,42.331,FOLLOWS
n24174,n5756,65.1617,FOLLOWS
n28515,n8498,65.9249,DEVELOPS
n12079,n28601,47.8679,DEVELOPS
n12940,n5281,52.9253,DEVELOPS
n266,n13510,54.8332,BELONGS_TO
n6212,n13314,81.5191,BELONGS_TO
n19843,n5582,70.4572,BELONGS_TO
n1640,n14884,6.7376,DEVELOPS
n3931,n7436,41.1688,FOLLOWS
n28057,n23545,39.2775,FUNDED_BY
n26615,n12664,57.3227,DEVELOPS
n21452,n7519,90.031,FOLLOWS
n11983,n26194,42.9088,FUNDED_BY
n21955,n23423,94.02,FUNDED_BY
n358,n2143,74.5015,BELONGS_TO
n19862,n18803,92.8864,BELONGS_TO
n18584,n16062,98.1623,DEVELOPS
n26283,n24303,79.1455,DEVELOPS
n9463,n5363,23.6124,DEVELOPS
n24718,n6945,38.9758,BELONGS_TO
n26322,n17930,26.4546,FUNDED_BY
n25370,n28228,85.8418,BELONGS_TO
n5985,n22207,90.3659,DEVELOPS
n12685,n18301,60.3519,DEVELOPS
n18248,n2152,3.7146,FUNDED_BY
n26937,n28153,17.5621,DEVELOPS
n20273,n17637,57.2011,FOLLOWS
n11264,n16658,22.2717,DEVELOPS
n4029,n9504,17.808,FUNDED_BY
n16375,n20928,14.7834,BELONGS_TO
n6920,n27172,10.7365,BELONGS_TO
n6953,n10984,77.299,DEVELOPS
n469,n12622,42.8244,BELONGS_TO
n7310,n12547,10.9829,FOLLOWS
n24219,n25553,97.0201,DEVELOPS
n21790,n22434,5.9149,BELONGS_TO
n28744,n2143,68.5336,BELONGS_TO
n19428,n3420,64.3613,DEVELOPS
n6533,n22159,76.7282,FUNDED_BY
n29035,n6945,0.3219,DEVELOPS
n19020,n1492,0.1533,BELONGS_TO
n22313,n423,72.4762,BELONGS_TO
n21222,n27567,17.6321,BELONGS_TO
n8689,n16382,64.2666,BELONGS_TO
n23545,n2084,84.7728,DEVELOPS
n28839,n1582,50.374,FUNDED_BY
n19964,n14015,90.7493,FUNDED_BY
n29491,n18903,1.1311,BELONGS_TO
n1409,n25953,97.5508,FOLLOWS
n19426,n17402,98.7236,DEVELOPS
n29690,n11516,15.5993,DEVELOPS
n6594,n23596,64.1443,DEVELOPS
n17589,n27343,79.1659,BELONGS_TO
n8622,n6691,71.2814,FOLLOWS
n6620,n10678,68.7184,FUNDED_BY
n17225,n22520,19.1843,FOLLOWS
n29486,n1201,34.6276,DEVELOPS
n9167,n15379,4.8099,DEVELOPS
n24036,n7531,28.7362,DEVELOPS
n13001,n8655,80.5056,FOLLOWS
n8725,n499,58.3295,DEVELOPS
n7300,n4168,72.9575,FOLLOWS
n12412,n7360,75.6322,BELONGS_TO
n26516,n21799,90.374,BELONGS_TO
n2855,n4164,59.0232,DEVELOPS
n15256,n15531,53.9905,BELONGS_TO
n14257,n28362,9.3744,FOLLOWS
n469,n15375,45.128,BELONGS_TO
n1306,n4355,0.1273,FUNDED_BY
n25201,n4079,42.827,FOLLOWS
n19777,n8132,43.3639,FOLLOWS
n26680,n11356,16.7769,FUNDED_BY
n11300,n49,58.9786,DEVELOPS
n25992,n18197,9.8974,FUNDED_BY
n10731,n657,38.6598,FUNDED_BY
n27332,n5368,29.5245,DEVELOPS
n855,n7140,12.3985,FOLLOWS
n29671,n25019,63.4772,BELONGS_TO
n26194,n23794,83.2397,DEVELOPS
n13532,n12517,43.5603,FUNDED_BY
n7684,n19197,17.1439,FOLLOWS
n28211,n1353,35.5208,FOLLOWS
n13393,n3406,52.0394,BELONGS_TO
n10546,n28995,44.4717,FOLLOWS
n11384,n15225,76.5258,DEVELOPS
n24819,n6406,4.1896,FOLLOWS
n17002,n11250,32.3117,FUNDED_BY
n2942,n22382,21.5708,FOLLOWS
n11747,n25390,64.734,FUNDED_BY
n16596,n17268,59.2909,BELONGS_TO
n6127,n8837,77.9979,DEVELOPS
n29802,n26396,39.1938,DEVELOPS
n24748,n11596,83.2349,FOLLOWS
n6291,n13321,6.5856,BELONGS_TO
n6627,n7103,23.8172,BELONGS_TO
n22533,n4672,87.8641,DEVELOPS
n3556,n5061,49.122,BELONGS_TO
n10995,n23925,89.0651,DEVELOPS
n8339,n13536,77.1308,BELONGS_TO
n2563,n12120,47.9244,FOLLOWS
n12249,n28889,87.329,FUNDED_BY
n13937,n25224,37.7024,FUNDED_BY
n10781,n4363,9.8437,DEVELOPS
n2604,n28537,20.1614,BELONGS_TO
n23828,n23501,12.6521,BELONGS_TO
n15225,n19446,14.7622,FOLLOWS
n12582,n17738,89.8302,FOLLOWS
n29537,n10984,42.3576,BELONGS_TO
n2373,n2069,40.1921,DEVELOPS
n20335,n1138,85.3064,BELONGS_TO
n14279,n16733,47.3384,FOLLOWS
n25713,n7164,24.455,FUNDED_BY
n1500,n18128,76.4441,FOLLOWS
n184,n24280,80.8675,FOLLOWS
n1803,n18216,29.1036,DEVELOPS
n20175,n20376,29.6697,FUNDED_BY
n24646,n11836,7.6134,FOLLOWS
n11601,n28585,53.3796,DEVELOPS
n16443,n13038,83.0356,BELONGS_TO
n1945,n8847,14.482,FOLLOWS
n28103,n8708,16.641,DEVELOPS
n14234,n29553,56.6231,BELONGS_TO
n849,n29670,59.6286,DEVELOPS
n13392,n28065,83.6108,FOLLOWS
n12282,n2403,32.5163,FUNDED_BY
n10304,n1656,78.8383,DEVELOPS
n14895,n14947,95.35,FUNDED_BY
n4601,n3096,62.7823,FUNDED_BY
n6744,n22604,52.5941,DEVELOPS
n23423,n8344,85.3595,DEVELOPS
n27310,n14854,11.2545,FOLLOWS
n17809,n12973,24.3387,FOLLOWS
n28527,n27862,50.9685,FOLLOWS
n14164,n26313,13.5,BELONGS_TO
n2055,n15812,33.4174,BELONGS_TO
n26650,n28367,55.8976,DEVELOPS
n12565,n27563,77.4645,FUNDED_BY
n20083,n28942,53.7576,FOLLOWS
n25576,n10835,76.7941,DEVELOPS
n26911,n2,53.1596,DEVELOPS
n9418,n19003,96.6668,FUNDED_BY
n6024,n12622,81.227,DEVELOPS
n5689,n28808,51.4881,FUNDED_BY
n5363,n2123,31.3871,DEVELOPS
n7470,n8395,79.285,DEVELOPS
n10829,n28666,71.4151,FOLLOWS
n27773,n15134,52.973,DEVELOPS
n10520,n14800,27.6255,BELONGS_TO
n2154,n8078,27.0611,FOLLOWS
n1644,n2563,97.5478,BELONGS_TO
n12664,n23530,96.694,DEVELOPS
n1813,n24584,21.0346,FOLLOWS
n19493,n638,74.1195,BELONGS_TO
n12970,n19369,76.4522,FOLLOWS
n184,n12547,3.5632,BELONGS_TO
n5311,n25250,63.4515,FUNDED_BY
n16812,n9223,75.7723,FOLLOWS
n3440,n16693,64.5412,FOLLOWS
n3675,n28321,94.8109,FUNDED_BY
n6287,n15123,12.7609,BELONGS_TO
n24846,n21843,73.3191,FUNDED_BY
n8926,n19527,46.8482,FOLLOWS
n25385,n18567,59.49,FUNDED_BY
n8336,n5621,38.1346,DEVELOPS
n23116,n23469,34.2542,DEVELOPS
n22458,n18295,32.6098,DEVELOPS
n11403,n6544,67.898,FOLLOWS
n15024,n9485,13.2068,DEVELOPS
n2455,n28185,69.4398,BELONGS_TO
n7233,n19527,33.2517,FUNDED_BY
n16187,n24221,37.06,DEVELOPS
n16065,n2631,53.8422,DEVELOPS
n29564,n29015,72.9118,FOLLOWS
n17980,n18159,15.4839,DEVELOPS
n6049,n6799,92.5909,DEVELOPS
n8705,n1567,73.329,DEVELOPS
n909,n19767,81.4116,BELONGS_TO
n11797,n11601,42.5398,BELONGS_TO
n392,n4057,82.4018,FOLLOWS
n17980,n18738,26.5091,FUNDED_BY
n4737,n13821,75.4944,FOLLOWS
n21789,n27913,94.7357,FUNDED_BY
n16655,n16523,38.2237,DEVELOPS
n25513,n14506,48.6774,BELONGS_TO
n11193,n25062,67.0271,BELONGS_TO
n12438,n6553,35.2015,FOLLOWS
n7254,n23896,0.8717,DEVELOPS
n24631,n10020,2.6073,DEVELOPS
n1744,n20109,71.0958,BELONGS_TO
n15225,n27645,35.3215,BELONGS_TO
n5214,n22565,96.6083,FUNDED_BY
n22210,n24437,4.8709,FUNDED_BY
n12821,n8708,35.0166,BELONGS_TO
n8033,n24564,0.4448,FOLLOWS
n27225,n21657,81.8019,BELONGS_TO
n8953,n11264,68.8501,DEVELOPS
n24922,n11990,66.5723,BELONGS_TO
n11836,n25736,56.6928,FUNDED_BY
n18677,n10254,47.9666,FOLLOWS
n21611,n5904,82.847,FOLLOWS
n20962,n27198,17.4176,DEVELOPS
n28446,n196,43.7491,FUNDED_BY
n7364,n8611,17.622,BELONGS_TO
n3052,n12473,58.2259,BELONGS_TO
n26780,n24554,87.1557,BELONGS_TO
n12147,n3273,51.6838,DEVELOPS
n11596,n16627,69.0464,BELONGS_TO
n23715,n17444,72.5387,FOLLOWS
n7187,n29612,64.3781,FOLLOWS
n1431,n12517,70.5799,BELONGS_TO
n21327,n28084,51.3178,FUNDED_BY
n29834,n18483,92.3956,FUNDED_BY
n7948,n14755,63.9796,FUNDED_BY
n20898,n14453,87.9128,BELONGS_TO
n3404,n28015,41.4178,DEVELOPS
n16352,n1462,30.8269,FOLLOWS
n7589,n21500,91.3944,FUNDED_BY
n12326,n3411,21.5593,FUNDED_BY
n16775,n19306,58.1566,DEVELOPS
n18556,n9456,75.7267,FUNDED_BY
n26368,n16234,47.9619,FUNDED_BY
n11319,n20650,59.2826,FOLLOWS
n24964,n461,43.0074,FUNDED_BY
n15870,n2154,62.4552,DEVELOPS
n4423,n23035,52.3523,FOLLOWS
n4027,n25761,4.5398,BELONGS_TO
n1354,n19384,12.4954,BELONGS_TO
n23530,n19629,93.98,DEVELOPS
n21249,n3494,73.7929,DEVELOPS
n5907,n28151,84.6058,FOLLOWS
n16523,n1291,46.7895,FUNDED_BY
n22770,n29263,72.4427,DEVELOPS
n29455,n18086,18.3755,BELONGS_TO
n7043,n29183,8.7989,FOLLOWS
n7033,n17496,36.4258,BELONGS_TO
n24451,n29834,84.9029,FUNDED_BY
n25627,n13985,40.7881,DEVELOPS
n28744,n6005,32.9899,BELONGS_TO
n14234,n23257,63.7711,FUNDED_BY
n14570,n4601,19.0346,BELONGS_TO
n23721,n24725,30.2984,DEVELOPS
n21750,n25062,90.0254,BELONGS_TO
n1132,n6948,87.2544,FOLLOWS
n28215,n22741,49.9908,DEVELOPS
n310,n25159,35.5861,FUNDED_BY
n25440,n17444,57.5263,FUNDED_BY
n24450,n4594,98.5135,FOLLOWS
n2046,n28078,75.817,FOLLOWS
n18902,n6291,29.4956,DEVELOPS
n5769,n20967,47.512,DEVELOPS
n15096,n2821,49.7192,BELONGS_TO
n10530,n11264,53.6325,FUNDED_BY
n22362,n19383,74.279,FUNDED_BY
n16882,n25323,15.6714,DEVELOPS
n12746,n22218,49.3683,BELONGS_TO
n16231,n8740,95.9002,FUNDED_BY
n7552,n24522,99.7907,BELONGS_TO
n14908,n24819,83.9978,FOLLOWS
n20564,n6162,40.4941,BELONGS_TO
n4933,n2837,28.6221,BELONGS_TO
n29310,n1264,64.0885,BELONGS_TO
n17819,n11226,9.4574,DEVELOPS
n23165,n18738,18.5228,FUNDED_BY
n26905,n18679,35.9343,DEVELOPS
n839,n15334,73.9973,BELONGS_TO
n4156,n3944,41.0476,FOLLOWS
n26878,n6766,8.8967,FUNDED_BY
n12148,n11533,47.9964,FUNDED_BY
n3440,n71,91.3203,DEVELOPS
n16662,n23077,0.0869,FOLLOWS
n26316,n11029,47.1827,BELONGS_TO
n14639,n20515,33.1669,BELONGS_TO
n6665,n3195,96.2357,BELONGS_TO
n6005,n26769,3.9289,DEVELOPS
n7661,n12220,55.7168,DEVELOPS
n135,n14538,76.3912,FOLLOWS
n7916,n23219,26.7432,FOLLOWS
n5061,n7806,60.1175,DEVELOPS
n26283,n13827,59.3231,FUNDED_BY
n3846,n24854,98.6874,FOLLOWS
n21471,n9649,27.1193,FOLLOWS
n7367,n26168,38.4217,FOLLOWS
n6906,n29421,57.2706,FUNDED_BY
n14233,n6796,99.2858,DEVELOPS
n2447,n19285,40.2972,DEVELOPS
n2152,n15382,61.5655,FOLLOWS
n29240,n23721,28.3806,DEVELOPS
n28979,n27373,58.1398,FUNDED_BY
n27537,n27145,44.7779,FOLLOWS
n23792,n1090,64.0516,FOLLOWS
n3971,n12597,24.9838,FOLLOWS
n2931,n4911,75.8482,FUNDED_BY
n14320,n13410,95.1554,FUNDED_BY
n28185,n21259,61.758,DEVELOPS
n29355,n13408,7.2901,FOLLOWS
n6906,n20991,80.3731,DEVELOPS
n173,n6918,64.2627,BELONGS_TO
n29466,n20032,47.4514,FOLLOWS
n19605,n21799,82.2418,BELONGS_TO
n16027,n17738,88.4322,FUNDED_BY
n23138,n29596,12.6109,FOLLOWS
n16137,n25048,76.8739,FUNDED_BY
n13062,n8337,28.0279,DEVELOPS
n23292,n6884,40.2834,DEVELOPS
n21594,n3669,81.4394,FOLLOWS
n20456,n14303,54.0938,FOLLOWS
n11375,n12565,50.2932,FOLLOWS
n21832,n23721,90.5504,FOLLOWS
n1564,n1415,44.8008,DEVELOPS
n18727,n3432,3.8974,FUNDED_BY
n27293,n2848,47.8,DEVELOPS
n29153,n11862,91.6476,FUNDED_BY
n15248,n23434,10.8795,DEVELOPS
n16623,n13649,86.8732,FUNDED_BY
n20906,n27511,82.465,FOLLOWS
n12874,n27645,78.3786,DEVELOPS
n1630,n20144,15.7453,DEVELOPS
n17324,n20562,4.3884,BELONGS_TO
n5724,n26687,74.6803,BELONGS_TO
n15981,n14077,68.1232,BELONGS_TO
n24387,n19446,0.6636,FUNDED_BY
n14223,n22248,36.9969,FOLLOWS
n13985,n21561,79.8167,FOLLOWS
n29128,n4619,27.2859,FUNDED_BY
n11648,n29967,77.9353,BELONGS_TO
n27427,n2165,14.8766,FUNDED_BY
n25656,n3860,5.6709,DEVELOPS
n11207,n11563,66.6725,BELONGS_TO
n7496,n12510,70.415,FOLLOWS
n26565,n1132,13.805,BELONGS_TO
n3242,n27842,60.4765,FUNDED_BY
n18328,n16548,35.22,FUNDED_BY
n6874,n6422,20.6244,BELONGS_TO
n20655,n12895,7.1246,FOLLOWS
n23487,n13314,20.964,DEVELOPS
n1349,n399,13.5076,FUNDED_BY
n25374,n5715,80.4418,DEVELOPS
n15096,n3870,18.4963,BELONGS_TO
n27040,n23637,32.713,FUNDED_BY
n16465,n20566,76.952,BELONGS_TO
n28544,n5899,23.9747,FOLLOWS
n22392,n20514,43.711,DEVELOPS
n9467,n26722,99.0235,FOLLOWS
